Area,Type,Educational Level,Count,Disability,Gender
Jammu & Kashmir,Rural,Illiterate,14276,Seeing,Males
Jammu & Kashmir,Rural,Literate,12743,Seeing,Males
Jammu & Kashmir,Rural,Literate But Below Primary,1696,Seeing,Males
Jammu & Kashmir,Rural,Primary But Below Middle,2901,Seeing,Males
Jammu & Kashmir,Rural,Middle But Below Matric/Secondary,3585,Seeing,Males
Jammu & Kashmir,Rural,Matric/Secondary But Below Graduate,3299,Seeing,Males
Jammu & Kashmir,Rural,Graduate And Above,713,Seeing,Males
Jammu & Kashmir,Urban,Illiterate,3228,Seeing,Males
Jammu & Kashmir,Urban,Literate,5409,Seeing,Males
Jammu & Kashmir,Urban,Literate But Below Primary,475,Seeing,Males
Jammu & Kashmir,Urban,Primary But Below Middle,711,Seeing,Males
Jammu & Kashmir,Urban,Middle But Below Matric/Secondary,1112,Seeing,Males
Jammu & Kashmir,Urban,Matric/Secondary But Below Graduate,1949,Seeing,Males
Jammu & Kashmir,Urban,Graduate And Above,901,Seeing,Males
Himachal Pradesh,Rural,Illiterate,4575,Seeing,Males
Himachal Pradesh,Rural,Literate,7716,Seeing,Males
Himachal Pradesh,Rural,Literate But Below Primary,1191,Seeing,Males
Himachal Pradesh,Rural,Primary But Below Middle,2214,Seeing,Males
Himachal Pradesh,Rural,Middle But Below Matric/Secondary,1380,Seeing,Males
Himachal Pradesh,Rural,Matric/Secondary But Below Graduate,2214,Seeing,Males
Himachal Pradesh,Rural,Graduate And Above,405,Seeing,Males
Himachal Pradesh,Urban,Illiterate,201,Seeing,Males
Himachal Pradesh,Urban,Literate,890,Seeing,Males
Himachal Pradesh,Urban,Literate But Below Primary,82,Seeing,Males
Himachal Pradesh,Urban,Primary But Below Middle,145,Seeing,Males
Himachal Pradesh,Urban,Middle But Below Matric/Secondary,128,Seeing,Males
Himachal Pradesh,Urban,Matric/Secondary But Below Graduate,339,Seeing,Males
Himachal Pradesh,Urban,Graduate And Above,173,Seeing,Males
Punjab,Rural,Illiterate,14011,Seeing,Males
Punjab,Rural,Literate,15828,Seeing,Males
Punjab,Rural,Literate But Below Primary,2094,Seeing,Males
Punjab,Rural,Primary But Below Middle,4366,Seeing,Males
Punjab,Rural,Middle But Below Matric/Secondary,2951,Seeing,Males
Punjab,Rural,Matric/Secondary But Below Graduate,5043,Seeing,Males
Punjab,Rural,Graduate And Above,522,Seeing,Males
Punjab,Urban,Illiterate,4529,Seeing,Males
Punjab,Urban,Literate,10443,Seeing,Males
Punjab,Urban,Literate But Below Primary,1007,Seeing,Males
Punjab,Urban,Primary But Below Middle,2027,Seeing,Males
Punjab,Urban,Middle But Below Matric/Secondary,1640,Seeing,Males
Punjab,Urban,Matric/Secondary But Below Graduate,3989,Seeing,Males
Punjab,Urban,Graduate And Above,1294,Seeing,Males
Chandigarh,Rural,Illiterate,4,Seeing,Males
Chandigarh,Rural,Literate,10,Seeing,Males
Chandigarh,Rural,Literate But Below Primary,2,Seeing,Males
Chandigarh,Rural,Primary But Below Middle,1,Seeing,Males
Chandigarh,Rural,Middle But Below Matric/Secondary,4,Seeing,Males
Chandigarh,Rural,Matric/Secondary But Below Graduate,3,Seeing,Males
Chandigarh,Rural,Graduate And Above,0,Seeing,Males
Chandigarh,Urban,Illiterate,247,Seeing,Males
Chandigarh,Urban,Literate,817,Seeing,Males
Chandigarh,Urban,Literate But Below Primary,111,Seeing,Males
Chandigarh,Urban,Primary But Below Middle,145,Seeing,Males
Chandigarh,Urban,Middle But Below Matric/Secondary,136,Seeing,Males
Chandigarh,Urban,Matric/Secondary But Below Graduate,257,Seeing,Males
Chandigarh,Urban,Graduate And Above,150,Seeing,Males
Uttarakhand,Rural,Illiterate,3893,Seeing,Males
Uttarakhand,Rural,Literate,6448,Seeing,Males
Uttarakhand,Rural,Literate But Below Primary,999,Seeing,Males
Uttarakhand,Rural,Primary But Below Middle,1986,Seeing,Males
Uttarakhand,Rural,Middle But Below Matric/Secondary,1410,Seeing,Males
Uttarakhand,Rural,Matric/Secondary But Below Graduate,1335,Seeing,Males
Uttarakhand,Rural,Graduate And Above,440,Seeing,Males
Uttarakhand,Urban,Illiterate,1099,Seeing,Males
Uttarakhand,Urban,Literate,3046,Seeing,Males
Uttarakhand,Urban,Literate But Below Primary,344,Seeing,Males
Uttarakhand,Urban,Primary But Below Middle,537,Seeing,Males
Uttarakhand,Urban,Middle But Below Matric/Secondary,495,Seeing,Males
Uttarakhand,Urban,Matric/Secondary But Below Graduate,970,Seeing,Males
Uttarakhand,Urban,Graduate And Above,588,Seeing,Males
Haryana,Rural,Illiterate,13817,Seeing,Males
Haryana,Rural,Literate,15402,Seeing,Males
Haryana,Rural,Literate But Below Primary,2388,Seeing,Males
Haryana,Rural,Primary But Below Middle,4353,Seeing,Males
Haryana,Rural,Middle But Below Matric/Secondary,2850,Seeing,Males
Haryana,Rural,Matric/Secondary But Below Graduate,4489,Seeing,Males
Haryana,Rural,Graduate And Above,727,Seeing,Males
Haryana,Urban,Illiterate,3808,Seeing,Males
Haryana,Urban,Literate,10597,Seeing,Males
Haryana,Urban,Literate But Below Primary,1088,Seeing,Males
Haryana,Urban,Primary But Below Middle,2006,Seeing,Males
Haryana,Urban,Middle But Below Matric/Secondary,1603,Seeing,Males
Haryana,Urban,Matric/Secondary But Below Graduate,3699,Seeing,Males
Haryana,Urban,Graduate And Above,1833,Seeing,Males
Nct Of Delhi,Rural,Illiterate,129,Seeing,Males
Nct Of Delhi,Rural,Literate,301,Seeing,Males
Nct Of Delhi,Rural,Literate But Below Primary,27,Seeing,Males
Nct Of Delhi,Rural,Primary But Below Middle,61,Seeing,Males
Nct Of Delhi,Rural,Middle But Below Matric/Secondary,56,Seeing,Males
Nct Of Delhi,Rural,Matric/Secondary But Below Graduate,117,Seeing,Males
Nct Of Delhi,Rural,Graduate And Above,26,Seeing,Males
Nct Of Delhi,Urban,Illiterate,3888,Seeing,Males
Nct Of Delhi,Urban,Literate,12546,Seeing,Males
Nct Of Delhi,Urban,Literate But Below Primary,1292,Seeing,Males
Nct Of Delhi,Urban,Primary But Below Middle,2372,Seeing,Males
Nct Of Delhi,Urban,Middle But Below Matric/Secondary,1948,Seeing,Males
Nct Of Delhi,Urban,Matric/Secondary But Below Graduate,3862,Seeing,Males
Nct Of Delhi,Urban,Graduate And Above,2557,Seeing,Males
Rajasthan,Rural,Illiterate,65582,Seeing,Males
Rajasthan,Rural,Literate,50894,Seeing,Males
Rajasthan,Rural,Literate But Below Primary,11284,Seeing,Males
Rajasthan,Rural,Primary But Below Middle,15727,Seeing,Males
Rajasthan,Rural,Middle But Below Matric/Secondary,9645,Seeing,Males
Rajasthan,Rural,Matric/Secondary But Below Graduate,7934,Seeing,Males
Rajasthan,Rural,Graduate And Above,2377,Seeing,Males
Rajasthan,Urban,Illiterate,11162,Seeing,Males
Rajasthan,Urban,Literate,28406,Seeing,Males
Rajasthan,Urban,Literate But Below Primary,3689,Seeing,Males
Rajasthan,Urban,Primary But Below Middle,5789,Seeing,Males
Rajasthan,Urban,Middle But Below Matric/Secondary,4852,Seeing,Males
Rajasthan,Urban,Matric/Secondary But Below Graduate,7585,Seeing,Males
Rajasthan,Urban,Graduate And Above,5056,Seeing,Males
Uttar Pradesh,Rural,Illiterate,136941,Seeing,Males
Uttar Pradesh,Rural,Literate,170880,Seeing,Males
Uttar Pradesh,Rural,Literate But Below Primary,28678,Seeing,Males
Uttar Pradesh,Rural,Primary But Below Middle,44053,Seeing,Males
Uttar Pradesh,Rural,Middle But Below Matric/Secondary,36989,Seeing,Males
Uttar Pradesh,Rural,Matric/Secondary But Below Graduate,39577,Seeing,Males
Uttar Pradesh,Rural,Graduate And Above,10736,Seeing,Males
Uttar Pradesh,Urban,Illiterate,32271,Seeing,Males
Uttar Pradesh,Urban,Literate,67770,Seeing,Males
Uttar Pradesh,Urban,Literate But Below Primary,7613,Seeing,Males
Uttar Pradesh,Urban,Primary But Below Middle,11874,Seeing,Males
Uttar Pradesh,Urban,Middle But Below Matric/Secondary,10788,Seeing,Males
Uttar Pradesh,Urban,Matric/Secondary But Below Graduate,19766,Seeing,Males
Uttar Pradesh,Urban,Graduate And Above,12882,Seeing,Males
Bihar,Rural,Illiterate,121128,Seeing,Males
Bihar,Rural,Literate,138387,Seeing,Males
Bihar,Rural,Literate But Below Primary,30373,Seeing,Males
Bihar,Rural,Primary But Below Middle,35483,Seeing,Males
Bihar,Rural,Middle But Below Matric/Secondary,22668,Seeing,Males
Bihar,Rural,Matric/Secondary But Below Graduate,31496,Seeing,Males
Bihar,Rural,Graduate And Above,7576,Seeing,Males
Bihar,Urban,Illiterate,11688,Seeing,Males
Bihar,Urban,Literate,25840,Seeing,Males
Bihar,Urban,Literate But Below Primary,3755,Seeing,Males
Bihar,Urban,Primary But Below Middle,4372,Seeing,Males
Bihar,Urban,Middle But Below Matric/Secondary,3447,Seeing,Males
Bihar,Urban,Matric/Secondary But Below Graduate,7392,Seeing,Males
Bihar,Urban,Graduate And Above,5241,Seeing,Males
Sikkim,Rural,Illiterate,531,Seeing,Males
Sikkim,Rural,Literate,740,Seeing,Males
Sikkim,Rural,Literate But Below Primary,273,Seeing,Males
Sikkim,Rural,Primary But Below Middle,203,Seeing,Males
Sikkim,Rural,Middle But Below Matric/Secondary,84,Seeing,Males
Sikkim,Rural,Matric/Secondary But Below Graduate,102,Seeing,Males
Sikkim,Rural,Graduate And Above,32,Seeing,Males
Sikkim,Urban,Illiterate,36,Seeing,Males
Sikkim,Urban,Literate,114,Seeing,Males
Sikkim,Urban,Literate But Below Primary,23,Seeing,Males
Sikkim,Urban,Primary But Below Middle,28,Seeing,Males
